mlID,mlTitle,releaseYear
72,Kicking and Screaming,1995.0
73,"Misérables, Les",1995.0
74,Bed of Roses,1996.0
75,Big Bully,1996.0
76,Screamers,1995.0
77,Nico Icon,1995.0
78,"Crossing Guard, The",1995.0
79,"Juror, The",1996.0
80,"White Balloon, The (Badkonake sefid)",1995.0
81,Things to Do in Denver When You're Dead,1995.0
82,Antonia's Line (Antonia),1995.0
83,Once Upon a Time... When We Were Colored,1995.0
84,Last Summer in the Hamptons,1995.0
85,Angels and Insects,1995.0
86,White Squall,1996.0
87,Dunston Checks In,1996.0
88,Black Sheep,1996.0
89,Nick of Time,1995.0
90,The Journey of August King,1995.0
92,Mary Reilly,1996.0
93,Vampire in Brooklyn,1995.0
94,Beautiful Girls,1996.0
95,Broken Arrow,1996.0
96,In the Bleak Midwinter,1995.0
97,"Hate (Haine, La)",1995.0
98,Shopping,1994.0
99,Heidi Fleiss: Hollywood Madam,1995.0
100,City Hall,1996.0
101,Bottle Rocket,1996.0
102,Mr. Wrong,1996.0
103,Unforgettable,1996.0
104,Happy Gilmore,1996.0
105,"Bridges of Madison County, The",1995.0
106,Nobody Loves Me (Keiner liebt mich),1994.0
107,Muppet Treasure Island,1996.0
108,Catwalk,1996.0
109,Headless Body in Topless Bar,1995.0
110,Braveheart,1995.0
111,Taxi Driver,1976.0
112,Rumble in the Bronx (Hont faan kui),1995.0
113,Before and After,1996.0
114,Margaret's Museum,1995.0
115,"Happiness Is in the Field (Bonheur est dans le pré, Le)",1995.0
116,Anne Frank Remembered,1995.0
117,"Young Poisoner's Handbook, The",1995.0
118,If Lucy Fell,1996.0
119,"Steal Big, Steal Little",1995.0
120,Race the Sun,1996.0
121,"Boys of St. Vincent, The",1992.0
122,Boomerang,1992.0
123,Chungking Express (Chung Hing sam lam),1994.0
124,"Star Maker, The (Uomo delle stelle, L')",1995.0
125,Flirting With Disaster,1996.0
126,"NeverEnding Story III, The",1994.0
127,"Silences of the Palace, The (Saimt el Qusur)",1994.0
128,Jupiter's Wife,1994.0
129,Pie in the Sky,1996.0
130,Angela,1995.0
131,Frankie Starlight,1995.0
132,Jade,1995.0
133,Nueba Yol,1995.0
134,Sonic Outlaws,1995.0
135,Down Periscope,1996.0
136,From the Journals of Jean Seberg,1995.0
137,Man of the Year,1995.0
138,"Neon Bible, The",1995.0
139,Target,1995.0
140,Up Close and Personal,1996.0
141,"Birdcage, The",1996.0
142,Shadows (Cienie),1988.0
143,Gospa,1995.0
144,"Brothers McMullen, The",1995.0
145,Bad Boys,1995.0
146,"Amazing Panda Adventure, The",1995.0
147,"Basketball Diaries, The",1995.0
148,"Awfully Big Adventure, An",1995.0
149,Amateur,1994.0
150,Apollo 13,1995.0
151,Rob Roy,1995.0
152,"Addiction, The",1995.0
153,Batman Forever,1995.0
154,Beauty of the Day (Belle de jour),1967.0
155,Beyond Rangoon,1995.0
156,Blue in the Face,1995.0
157,Canadian Bacon,1995.0
158,Casper,1995.0
159,Clockers,1995.0
160,Congo,1995.0
161,Crimson Tide,1995.0
162,Crumb,1994.0
163,Desperado,1995.0
164,Devil in a Blue Dress,1995.0
165,Die Hard: With a Vengeance,1995.0
166,"Doom Generation, The",1995.0
167,Feast of July,1995.0
168,First Knight,1995.0
169,Free Willy 2: The Adventure Home,1995.0
170,Hackers,1995.0
171,Jeffrey,1995.0
172,Johnny Mnemonic,1995.0
173,Judge Dredd,1995.0
174,Jury Duty,1995.0
175,Kids,1995.0
176,Living in Oblivion,1995.0
177,Lord of Illusions,1995.0
178,Love & Human Remains,1993.0
179,Mad Love,1995.0
180,Mallrats,1995.0
181,Mighty Morphin Power Rangers: The Movie,1995.0
182,Moonlight and Valentino,1995.0
183,Mute Witness,1994.0
184,Nadja,1994.0
185,"Net, The",1995.0
186,Nine Months,1995.0
187,Party Girl,1995.0
188,"Prophecy, The",1995.0
189,Reckless,1995.0
190,Safe,1995.0
191,"Scarlet Letter, The",1995.0
192,The Show,1995.0
193,Showgirls,1995.0
194,Smoke,1995.0
195,Something to Talk About,1995.0
196,Species,1995.0
197,"Stars Fell on Henrietta, The",1995.0
198,Strange Days,1995.0
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",1964.0
200,"Tie That Binds, The",1995.0
201,Three Wishes,1995.0
202,Total Eclipse,1995.0
203,"To Wong Foo, Thanks for Everything! Julie Newmar",1995.0
204,Under Siege 2: Dark Territory,1995.0
205,Unstrung Heroes,1995.0
206,Unzipped,1995.0
207,"Walk in the Clouds, A",1995.0
208,Waterworld,1995.0
209,White Man's Burden,1995.0
210,Wild Bill,1995.0
211,"Browning Version, The",1994.0
212,Bushwhacked,1995.0
213,Burnt by the Sun (Utomlyonnye solntsem),1994.0
214,Before the Rain (Pred dozhdot),1994.0
215,Before Sunrise,1995.0
216,Billy Madison,1995.0
217,"Babysitter, The",1995.0
218,Boys on the Side,1995.0
219,"Cure, The",1995.0
220,Castle Freak,1995.0
222,Circle of Friends,1995.0
223,Clerks,1994.0
224,Don Juan DeMarco,1995.0
225,Disclosure,1994.0
226,Dream Man,1995.0
227,Drop Zone,1994.0
228,Destiny Turns on the Radio,1995.0
229,Death and the Maiden,1994.0
230,Dolores Claiborne,1995.0
231,Dumb & Dumber (Dumb and Dumber),1994.0
232,Eat Drink Man Woman (Yin shi nan nu),1994.0
233,Exotica,1994.0
234,Exit to Eden,1994.0
235,Ed Wood,1994.0
236,French Kiss,1995.0
237,Forget Paris,1995.0
238,Far From Home: The Adventures of Yellow Dog,1995.0
239,"Goofy Movie, A",1995.0
240,Hideaway,1995.0
241,Fluke,1995.0
242,Farinelli: il castrato,1994.0
243,Gordy,1995.0
244,Gumby: The Movie,1995.0
245,The Glass Shield,1994.0
246,Hoop Dreams,1994.0
247,Heavenly Creatures,1994.0
248,Houseguest,1994.0
249,Immortal Beloved,1994.0
250,Heavyweights (Heavy Weights),1995.0
251,"Hunted, The",1995.0
252,I.Q.,1994.0
253,Interview with the Vampire: The Vampire Chronicles,1994.0
254,Jefferson in Paris,1995.0
255,"Jerky Boys, The",1995.0
256,Junior,1994.0
257,Just Cause,1995.0
258,"Kid in King Arthur's Court, A",1995.0
259,Kiss of Death,1995.0
260,Star Wars: Episode IV - A New Hope,1977.0
261,Little Women,1994.0
262,"Little Princess, A",1995.0
263,Ladybird Ladybird,1994.0
264,"Enfer, L'",1994.0
265,Like Water for Chocolate (Como agua para chocolate),1992.0
266,Legends of the Fall,1994.0
267,Major Payne,1995.0
268,Little Odessa,1994.0
269,My Crazy Life (Mi vida loca),1993.0
270,Love Affair,1994.0
271,Losing Isaiah,1995.0
272,"Madness of King George, The",1994.0
273,Mary Shelley's Frankenstein (Frankenstein),1994.0
274,Man of the House,1995.0
275,Mixed Nuts,1994.0
276,Milk Money,1994.0
277,Miracle on 34th Street,1994.0
278,Miami Rhapsody,1995.0
279,My Family,1995.0
280,Murder in the First,1995.0
281,Nobody's Fool,1994.0
282,Nell,1994.0
283,New Jersey Drive,1995.0
284,New York Cop (Nyû Yôku no koppu),1993.0
285,Beyond Bedlam,1993.0
286,Nemesis 2: Nebula,1995.0
287,Nina Takes a Lover,1994.0
288,Natural Born Killers,1994.0
289,Only You,1994.0
290,Once Were Warriors,1994.0
292,Outbreak,1995.0
293,Léon: The Professional (a.k.a. The Professional) (Léon),1994.0
294,"Perez Family, The",1995.0
295,"Pyromaniac's Love Story, A",1995.0
296,Pulp Fiction,1994.0
297,Panther,1995.0
298,Pushing Hands (Tui shou),1992.0
299,Priest,1994.0
300,Quiz Show,1994.0
301,Picture Bride (Bijo photo),1994.0
302,"Queen Margot (Reine Margot, La)",1994.0
303,"Quick and the Dead, The",1995.0
304,Roommates,1995.0
305,Ready to Wear (Pret-A-Porter),1994.0
306,Three Colors: Red (Trois couleurs: Rouge),1994.0
307,Three Colors: Blue (Trois couleurs: Bleu),1993.0
308,Three Colors: White (Trzy kolory: Bialy),1994.0
309,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng)",1994.0
310,Rent-a-Kid,1995.0
311,Relative Fear,1994.0
312,Stuart Saves His Family,1995.0
313,"Swan Princess, The",1994.0
314,"Secret of Roan Inish, The",1994.0
315,"Specialist, The",1994.0
316,Stargate,1994.0
317,"Santa Clause, The",1994.0
318,"Shawshank Redemption, The",1994.0
319,Shallow Grave,1994.0
320,Suture,1993.0
321,Strawberry and Chocolate (Fresa y chocolate),1993.0
322,Swimming with Sharks,1995.0
324,"Sum of Us, The",1994.0
325,National Lampoon's Senior Trip,1995.0
326,To Live (Huozhe),1994.0
327,Tank Girl,1995.0
328,Tales from the Crypt Presents: Demon Knight,1995.0
329,Star Trek: Generations,1994.0
330,Tales from the Hood,1995.0
331,Tom & Viv,1994.0
332,Village of the Damned,1995.0
333,Tommy Boy,1995.0
334,Vanya on 42nd Street,1994.0
335,Underneath,1995.0
336,"Walking Dead, The",1995.0
337,What's Eating Gilbert Grape,1993.0
338,Virtuosity,1995.0
339,While You Were Sleeping,1995.0
340,"War, The",1994.0
341,Double Happiness,1994.0
342,Muriel's Wedding,1994.0
343,"Baby-Sitters Club, The",1995.0
344,Ace Ventura: Pet Detective,1994.0
345,"Adventures of Priscilla, Queen of the Desert, The",1994.0
346,Backbeat,1993.0
347,Bitter Moon,1992.0
348,Bullets Over Broadway,1994.0
349,Clear and Present Danger,1994.0
350,"Client, The",1994.0
351,"Corrina, Corrina",1994.0
352,Crooklyn,1994.0
353,"Crow, The",1994.0
354,Cobb,1994.0
355,"Flintstones, The",1994.0
356,Forrest Gump,1994.0
357,Four Weddings and a Funeral,1994.0
358,Higher Learning,1995.0
359,I Like It Like That,1994.0
360,I Love Trouble,1994.0
361,It Could Happen to You,1994.0
362,"Jungle Book, The",1994.0
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die)",1993.0
364,"Lion King, The",1994.0
365,Little Buddha,1993.0
366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A)",1994.0
367,"Mask, The",1994.0
368,Maverick,1994.0
369,Mrs. Parker and the Vicious Circle,1994.0
370,Naked Gun 33 1/3: The Final Insult,1994.0
371,"Paper, The",1994.0
372,Reality Bites,1994.0
373,Red Rock West,1992.0
374,Richie Rich,1994.0
375,Safe Passage,1994.0
376,"River Wild, The",1994.0
377,Speed,1994.0
378,Speechless,1994.0
379,Timecop,1994.0
380,True Lies,1994.0
381,When a Man Loves a Woman,1994.0
382,Wolf,1994.0
383,Wyatt Earp,1994.0
384,Bad Company,1995.0
385,"Man of No Importance, A",1994.0
386,S.F.W.,1994.0
387,"Low Down Dirty Shame, A",1994.0
388,Boys Life,1995.0
389,"Colonel Chabert, Le",1994.0
390,Faster Pussycat! Kill! Kill!,1965.0
391,Jason's Lyric,1994.0
392,"Secret Adventures of Tom Thumb, The",1993.0
393,Street Fighter,1994.0
394,Coldblooded,1995.0
395,Desert Winds,1995.0
396,Fall Time,1995.0
397,"Fear, The",1995.0
398,Frank and Ollie,1995.0
399,Girl in the Cadillac,1995.0
400,Homage,1995.0
401,Mirage,1995.0
402,Open Season,1996.0
403,Two Crimes (Dos crímenes),1995.0
404,Brother Minister: The Assassination of Malcolm X,1994.0
405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension),1994.0
406,Federal Hill,1994.0
407,In the Mouth of Madness,1995.0
408,8 Seconds,1994.0
409,Above the Rim,1994.0
410,Addams Family Values,1993.0
411,Martin Lawrence: You So Crazy,1994.0
412,"Age of Innocence, The",1993.0
413,Airheads,1994.0
414,"Air Up There, The",1994.0
415,Another Stakeout,1993.0
416,Bad Girls,1994.0
417,Barcelona,1994.0
418,Being Human,1993.0
419,"Beverly Hillbillies, The",1993.0
420,Beverly Hills Cop III,1994.0
421,Black Beauty,1994.0
422,Blink,1994.0
423,Blown Away,1994.0
424,Blue Chips,1994.0
425,Blue Sky,1994.0
426,Body Snatchers,1993.0
427,Boxing Helena,1993.0
428,"Bronx Tale, A",1993.0
429,Cabin Boy,1994.0
430,Calendar Girl,1993.0
431,Carlito's Way,1993.0
432,City Slickers II: The Legend of Curly's Gold,1994.0
433,Clean Slate,1994.0
434,Cliffhanger,1993.0
435,Coneheads,1993.0
436,Color of Night,1994.0
437,Cops and Robbersons,1994.0
438,"Cowboy Way, The",1994.0
439,Dangerous Game,1993.0
440,Dave,1993.0
441,Dazed and Confused,1993.0
442,Demolition Man,1993.0
443,"Endless Summer 2, The",1994.0
444,Even Cowgirls Get the Blues,1993.0
445,Fatal Instinct,1993.0
446,Farewell My Concubine (Ba wang bie ji),1993.0
447,"Favor, The",1994.0
448,Fearless,1993.0
449,Fear of a Black Hat,1994.0
450,With Honors,1994.0
451,Flesh and Bone,1993.0
452,Widows' Peak,1994.0
453,For Love or Money,1993.0
454,"Firm, The",1993.0
455,Free Willy,1993.0
456,Fresh,1994.0
457,"Fugitive, The",1993.0
458,Geronimo: An American Legend,1993.0
459,"Getaway, The",1994.0
460,Getting Even with Dad,1994.0
461,Go Fish,1994.0
462,"Good Man in Africa, A",1994.0
463,Guilty as Sin,1993.0
464,Hard Target,1993.0
465,Heaven & Earth,1993.0
466,Hot Shots! Part Deux,1993.0
467,Live Nude Girls,1995.0
468,"Englishman Who Went Up a Hill But Came Down a Mountain, The",1995.0
469,"House of the Spirits, The",1993.0
470,House Party 3,1994.0
471,"Hudsucker Proxy, The",1994.0
472,I'll Do Anything,1994.0
473,In the Army Now,1994.0
474,In the Line of Fire,1993.0
475,In the Name of the Father,1993.0
476,"Inkwell, The",1994.0
477,What's Love Got to Do with It?,1993.0
478,Jimmy Hollywood,1994.0
479,Judgment Night,1993.0
480,Jurassic Park,1993.0
481,Kalifornia,1993.0
482,Killing Zoe,1994.0
483,King of the Hill,1993.0
484,Lassie,1994.0
485,Last Action Hero,1993.0
486,Life with Mikey,1993.0
487,Lightning Jack,1994.0
488,M. Butterfly,1993.0
489,Made in America,1993.0
490,Malice,1993.0
491,"Man Without a Face, The",1993.0
492,Manhattan Murder Mystery,1993.0
493,Menace II Society,1993.0
494,Executive Decision,1996.0
495,In the Realm of the Senses (Ai no corrida),1976.0
496,What Happened Was...,1994.0
497,Much Ado About Nothing,1993.0
498,Mr. Jones,1993.0
499,Mr. Wonderful,1993.0
500,Mrs. Doubtfire,1993.0
501,Naked,1993.0
502,"Next Karate Kid, The",1994.0
503,"New Age, The",1994.0
504,No Escape,1994.0
505,North,1994.0
506,Orlando,1992.0
507,"Perfect World, A",1993.0
508,Philadelphia,1993.0
509,"Piano, The",1993.0
510,Poetic Justice,1993.0
511,"Program, The",1993.0
512,"Puppet Masters, The",1994.0
513,Radioland Murders,1994.0
514,"Ref, The",1994.0
515,"Remains of the Day, The",1993.0
516,Renaissance Man,1994.0
517,Rising Sun,1993.0
518,"Road to Wellville, The",1994.0
519,RoboCop 3,1993.0
520,Robin Hood: Men in Tights,1993.0
521,Romeo Is Bleeding,1993.0
522,Romper Stomper,1992.0
523,Ruby in Paradise,1993.0
524,Rudy,1993.0
525,"Saint of Fort Washington, The",1993.0
526,"Savage Nights (Nuits fauves, Les)",1992.0
527,Schindler's List,1993.0
528,"Scout, The",1994.0
529,Searching for Bobby Fischer,1993.0
530,Second Best,1994.0
531,"Secret Garden, The",1993.0
532,Serial Mom,1994.0
533,"Shadow, The",1994.0
534,Shadowlands,1993.0
535,Short Cuts,1993.0
536,"Simple Twist of Fate, A",1994.0
537,Sirens,1994.0
538,Six Degrees of Separation,1993.0
539,Sleepless in Seattle,1993.0
540,Sliver,1993.0
541,Blade Runner,1982.0
542,Son in Law,1993.0
543,So I Married an Axe Murderer,1993.0
544,Striking Distance,1993.0
546,Super Mario Bros.,1993.0
547,Surviving the Game,1994.0
548,Terminal Velocity,1994.0
549,Thirty-Two Short Films About Glenn Gould,1993.0
550,Threesome,1994.0
551,"Nightmare Before Christmas, The",1993.0
552,"Three Musketeers, The",1993.0
553,Tombstone,1993.0
554,Trial by Jury,1994.0
555,True Romance,1993.0
556,"War Room, The",1993.0
558,"Pagemaster, The",1994.0
559,"Paris, France",1993.0
560,"Beans of Egypt, Maine, The",1994.0
561,Killer (Bulletproof Heart),1994.0
562,Welcome to the Dollhouse,1995.0
563,Germinal,1993.0
564,Chasers,1994.0
565,Cronos,1993.0
566,Naked in New York,1994.0
567,Kika,1993.0
568,Bhaji on the Beach,1993.0
569,Little Big League,1994.0
570,"Slingshot, The (Kådisbellan)",1993.0
571,"Wedding Gift, The",1994.0
572,Foreign Student,1994.0
573,"Ciao, Professore! (Io speriamo che me la cavo)",1992.0
574,Spanking the Monkey,1994.0
575,"Little Rascals, The",1994.0
576,Fausto,1993.0
577,Andre,1994.0
579,"Escort, The (Scorta, La)",1993.0
580,Princess Caraboo,1994.0
581,"Celluloid Closet, The",1995.0
582,Métisse (Café au Lait),1993.0
583,Dear Diary (Caro Diario),1994.0
584,I Don't Want to Talk About It (De eso no se habla),1993.0
585,"Brady Bunch Movie, The",1995.0
586,Home Alone,1990.0
587,Ghost,1990.0
588,Aladdin,1992.0
589,Terminator 2: Judgment Day,1991.0
590,Dances with Wolves,1990.0
591,Tough and Deadly,1995.0
592,Batman,1989.0
593,"Silence of the Lambs, The",1991.0
594,Snow White and the Seven Dwarfs,1937.0
595,Beauty and the Beast,1991.0
596,Pinocchio,1940.0
597,Pretty Woman,1990.0
598,Window to Paris (Okno v Parizh),1994.0
599,"Wild Bunch, The",1969.0
600,Love and a .45,1994.0
601,"Wooden Man's Bride, The (Yan shen)",1994.0
602,"Great Day in Harlem, A",1994.0
603,"Bye Bye, Love",1995.0
604,Criminals,1996.0
605,One Fine Day,1996.0
606,Candyman: Farewell to the Flesh,1995.0
607,Century,1993.0
608,Fargo,1996.0
609,Homeward Bound II: Lost in San Francisco,1996.0
610,Heavy Metal,1981.0
611,Hellraiser: Bloodline,1996.0
612,"Pallbearer, The",1996.0
613,Jane Eyre,1996.0
614,Loaded,1994.0
615,Bread and Chocolate (Pane e cioccolata),1973.0
616,"Aristocats, The",1970.0
617,"Flower of My Secret, The (La flor de mi secreto)",1995.0
618,Two Much,1995.0
619,Ed,1996.0
620,Scream of Stone (Cerro Torre: Schrei aus Stein),1991.0
621,My Favorite Season,1993.0
623,"Modern Affair, A",1995.0
625,Asfour Stah,1990.0
626,"Thin Line Between Love and Hate, A",1996.0
627,"Last Supper, The",1995.0
628,Primal Fear,1996.0
629,Rude,1995.0
630,Carried Away,1996.0
631,All Dogs Go to Heaven 2,1996.0
632,Land and Freedom (Tierra y libertad),1995.0
633,Denise Calls Up,1995.0
634,Theodore Rex,1995.0
635,"Family Thing, A",1996.0
636,Frisk,1995.0
637,Sgt. Bilko,1996.0
638,Jack and Sarah,1995.0
639,Girl 6,1996.0
640,Diabolique,1996.0
641,"Little Indian, Big City (Un indien dans la ville)",1994.0
642,Roula,1995.0
643,Peanuts - Die Bank zahlt alles,1996.0
644,Happy Weekend,1996.0
645,Nelly & Monsieur Arnaud,1995.0
647,Courage Under Fire,1996.0
648,Mission: Impossible,1996.0
649,Cold Fever (Á köldum klaka),1995.0
650,Moll Flanders,1996.0
651,"Superweib, Das",1996.0
652,"301, 302 (301/302)",1995.0
653,Dragonheart,1996.0
654,And Nobody Weeps for Me (Und keiner weint mir nach),1996.0
655,My Mother's Courage (Mutters Courage),1995.0
656,Eddie,1996.0
657,Yankee Zulu,1994.0
658,Billy's Holiday,1995.0
659,Purple Noon (Plein soleil),1960.0
660,August,1996.0
661,James and the Giant Peach,1996.0
662,Fear,1996.0
663,Kids in the Hall: Brain Candy,1996.0
664,Faithful,1996.0
665,Underground,1995.0
666,All Things Fair (Lust och fägring stor),1995.0
667,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite),1996.0
668,Song of the Little Road (Pather Panchali),1955.0
670,"World of Apu, The (Apur Sansar)",1959.0
671,Mystery Science Theater 3000: The Movie,1996.0
672,Tarantella,1995.0
673,Space Jam,1996.0
674,Barbarella,1968.0
675,Hostile Intentions,1994.0
676,They Bite,1996.0
678,Some Folks Call It a Sling Blade,1993.0
679,"Run of the Country, The",1995.0
680,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution)",1965.0
681,Coup de torchon (Clean Slate),1981.0
682,Tigrero: A Film That Was Never Made,1994.0
683,"Eye of Vichy, The (Oeil de Vichy, L')",1993.0
684,Windows,1980.0
685,It's My Party,1996.0
687,Country Life,1994.0
688,Operation Dumbo Drop,1995.0
691,Mrs. Winterbourne,1996.0
692,Solo,1996.0
693,Under the Domim Tree (Etz Hadomim Tafus),1994.0
694,"Substitute, The",1996.0
695,True Crime,1996.0
696,Butterfly Kiss,1995.0
697,Feeling Minnesota,1996.0
698,Delta of Venus,1995.0
699,To Cross the Rubicon,1991.0
700,Angus,1995.0
701,Daens,1992.0
702,Faces,1968.0
703,Boys,1996.0
704,"Quest, The",1996.0
705,Cosi,1996.0
706,Sunset Park,1996.0
707,Mulholland Falls,1996.0
708,"Truth About Cats & Dogs, The",1996.0
709,Oliver & Company,1988.0
710,Celtic Pride,1996.0
711,Flipper,1996.0
712,Captives,1994.0
713,Of Love and Shadows,1994.0
714,Dead Man,1995.0
715,"Horseman on the Roof, The (Hussard sur le toit, Le)",1995.0
716,Switchblade Sisters,1975.0
717,Mouth to Mouth (Boca a boca),1995.0
718,"Visitors, The (Visiteurs, Les)",1993.0
719,Multiplicity,1996.0
720,Wallace & Gromit: The Best of Aardman Animation,1996.0
722,"Haunted World of Edward D. Wood Jr., The",1996.0
723,Two Friends,1986.0
724,"Craft, The",1996.0
725,"Great White Hype, The",1996.0
726,Last Dance,1996.0
727,War Stories,1995.0
728,Cold Comfort Farm,1995.0
729,"Institute Benjamenta, or This Dream People Call Human Life",1995.0
731,Heaven's Prisoners,1996.0
732,Original Gangstas,1996.0
733,"Rock, The",1996.0
734,Getting Away With Murder,1996.0
735,Cemetery Man (Dellamorte Dellamore),1994.0
736,Twister,1996.0
737,Barb Wire,1996.0
738,"Garçu, Le",1995.0
739,Honey Moon (Honigmond),1996.0
741,Ghost in the Shell (Kôkaku kidôtai),1995.0
742,Thinner,1996.0
743,Spy Hard,1996.0
744,Brothers in Trouble,1995.0
745,Wallace & Gromit: A Close Shave,1995.0
746,Force of Evil,1948.0
747,"Stupids, The",1996.0
748,"Arrival, The",1996.0
749,"Man from Down Under, The",1943.0
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964.0
751,Careful,1992.0
752,Vermont Is For Lovers,1992.0
753,"Month by the Lake, A",1995.0
754,Gold Diggers: The Secret of Bear Mountain,1995.0
755,Kim,1950.0
756,Carmen Miranda: Bananas Is My Business,1994.0
757,Ashes of Time (Dung che sai duk),1994.0
758,"Jar, The (Khomreh)",1992.0
759,Maya Lin: A Strong Clear Vision,1994.0
760,Stalingrad,1993.0
761,"Phantom, The",1996.0
762,Striptease,1996.0
763,"Last of the High Kings, The (a.k.a. Summer Fling)",1996.0
764,Heavy,1995.0
765,Jack,1996.0
766,I Shot Andy Warhol,1996.0
767,"Grass Harp, The",1995.0
768,Someone Else's America,1995.0
769,Marlene Dietrich: Shadow and Light,1996.0
771,"Life Is Rosy (a.k.a. Life Is Beautiful) (Vie est belle, La)",1987.0
772,Quartier Mozart,1992.0
773,Touki Bouki,1973.0
774,Wend Kuuni (a.k.a. God's Gift),1982.0
775,Spirits of the Dead,1968.0
776,Babyfever,1994.0
777,Pharaoh's Army,1995.0
778,Trainspotting,1996.0
779,'Til There Was You,1997.0
780,Independence Day (a.k.a. ID4),1996.0
781,Stealing Beauty,1996.0
782,"Fan, The",1996.0
783,"Hunchback of Notre Dame, The",1996.0
784,"Cable Guy, The",1996.0
785,Kingpin,1996.0
786,Eraser,1996.0
787,"Gate of Heavenly Peace, The",1995.0
788,"Nutty Professor, The",1996.0
789,"I, the Worst of All (Yo, la peor de todas)",1990.0
790,"Unforgettable Summer, An (Un été inoubliable)",1994.0
792,"Hungarian Fairy Tale, A (Hol volt, hol nem volt)",1987.0
793,My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud),1993.0
794,Midnight Dancers (Sibak),1994.0
795,Somebody to Love,1994.0
796,"Very Natural Thing, A",1974.0
797,"Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La)",1991.0
798,Daylight,1996.0
799,"Frighteners, The",1996.0
800,Lone Star,1996.0
801,Harriet the Spy,1996.0
802,Phenomenon,1996.0
803,Walking and Talking,1996.0
804,She's the One,1996.0
805,"Time to Kill, A",1996.0
806,American Buffalo,1996.0
807,"Rendezvous in Paris (Rendez-vous de Paris, Les)",1995.0
808,Alaska,1996.0
809,Fled,1996.0
810,Kazaam,1996.0
812,Magic Hunter (Büvös vadász),1994.0
813,Larger Than Life,1996.0
814,"Boy Called Hate, A",1995.0
815,Power 98,1996.0
816,Two Deaths,1995.0
818,"Very Brady Sequel, A",1996.0
819,Stefano Quantestorie,1993.0
820,"Death in the Garden (Mort en ce jardin, La)",1956.0
821,"Crude Oasis, The",1995.0
822,Hedd Wyn,1992.0
823,"Collector, The (La collectionneuse)",1967.0
824,Kaspar Hauser,1993.0
825,Regular Guys (Echte Kerle),1996.0
826,Women Robbers (Diebinnen),1995.0
827,"Convent, The (O Convento)",1995.0
828,"Adventures of Pinocchio, The",1996.0
829,Joe's Apartment,1996.0
830,"First Wives Club, The",1996.0
831,Stonewall,1995.0
832,Ransom,1996.0
833,High School High,1996.0
